(15,0)
(15,1)
(16,2)
(0,3)
(26,4)
(27,5)
(1,6)
(0,7)
(24,8)
(33,9)
(0,10)
(38,11)
(69,12)
(63,13)
(5,14)
(3,15)
(0,16)
(51,17)
(43,18)
(62,19)
(74,20)
(69,21)
(5,22)
(3,23)
(0,24)
(41,25)
(45,26)
(3,27)
(1,28)
(0,29)
(11,30)
(73,31)
(0,32)
(93,33)
(52,34)
(44,35)
(11,36)
(17,37)
(17,38)
(22,39)
(7,40)
(5,41)
(3,42)
(0,43)
(100,44)
(55,45)
(47,46)
(51,47)
(47,48)
(11,49)
(19,50)
(17,51)
(24,52)
(7,53)
(5,54)
(3,55)
(0,56)
(101,57)
(53,58)
(33,59)
(28,60)
(15,61)
(31,62)
(7,63)
(5,64)
(8,65)
(0,66)
(70,67)
(9,68)
(29,69)
(49,70)
(47,71)
(41,72)
(0,73)
(75,74)
(9,75)
(31,76)
(57,77)
(34,78)
(47,79)
(0,80)
(1,81)
(0,82)
(13,83)
(81,84)
(40,85)
(1,86)
